Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase Steps,Expected Results
Block Service Docker Container,Block Service Up - [Valid Scenerio],TC-MuliCloud-Block-1,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend,Backend Registration - [Valid Scenerio],TC-MuliCloud-Block-2,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for non-existing Backend Type,Backend Registration - [InValid Scenerio],TC-MuliCloud-Block-3,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid Region,Backend Registration - [InValid Scenerio],TC-MuliCloud-Block-4,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid AK,Backend Registration - [InValid Scenerio],TC-MuliCloud-Block-5,"SODA Multi-Cloud Docker Containers Up & Running
",,
Create AWS Backend for Invalid SK,Backend Registration - [InValid Scenerio],TC-MuliCloud-Block-6,"SODA Multi-Cloud Docker Containers Up & Running
",,
List Backends,Backend Listing - [Valid Scenerio],TC-MuliCloud-Block-7,"SODA Multi-Cloud Docker Containers Up & Running
",,
Get AWS Backend,Backend GET - [Valid Scenerio],TC-MuliCloud-Block-8,"SODA Multi-Cloud Docker Containers Up & Running
",,
Delete AWS Backend,Backend Deletion - [Valid Scenerio],TC-MuliCloud-Block-9,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with following conditions:

1 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
With Desccription",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-10,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with following conditions:

1 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
Without Desccription",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-11,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with InValid/ Non-Existence Backend Id",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-12,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Non Block Type Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-13,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Invalid Region in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-14,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Invalid AK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-15,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Invalid SK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-16,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
with Invalid AvailabilityZone",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-17,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume 
size < 1 GiB",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-18,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
size > 16384 GiB",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-19,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
 with IOPS",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-20,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
 with ThroughPuts",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-21,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 128 
Length of Tag key is <=256",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-22,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 128 
Length of Tag key is <= 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-23,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-24,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-25,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
with Tags with following condition 
Number of Tags > 50 in Size
Length of Tag key is <= 128 
Length of Tag key is <=256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-26,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
 Number of Tags > 50 in Size
Length of Tag key is > 128 
Length of Tag key is <=256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-27,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
 Number of Tags > 50 in Size
Length of Tag key is <= 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-28,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose SSD (gp2) Volume
 Number of Tags > 50 in Size
Length of Tag key is > 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-29,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted General Purpose SSD (gp2) Volume
with Valid KMSKeyId
",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-30,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted General Purpose SSD (gp2) Volume
with InValid KMSKeyId
",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-31,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted General Purpose SSD (gp2) Volume
with Valid KMSKeyARN
",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-32,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted General Purpose SSD (gp2) Volume
with InValid KMSKeyARN
",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-33,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume 
with the following conditions

4 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
With Desccription",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-34,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume 
with the following conditions

4 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
Without Desccription",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-35,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io1) Volume 
with InValid/ Non-Existence Backend Id",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-36,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io1) Volume 
with Non Block Type Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-37,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io1) Volume 
with Invalid Region in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-38,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io1) Volume 
with Invalid AK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-39,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io1) Volume 
with Invalid SK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-40,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io1) Volume 
with Invalid AvailabilityZone",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-41,"SODA Multi-Cloud Docker Containers Up & Running
",,
"CreateProvisioned IOPS SSD (io1) Volume 
size < 4 GiB",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-42,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
size > 16384 GiB",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-43,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
 with 100 >= IOPS  <= 64000",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-44,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
 with IOPS < 100",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-45,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
 with IOPS > 64000",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-46,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
 with ThroughPuts",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-47,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 128 
Length of Tag key is <=256",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-48,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1)Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 128 
Length of Tag key is <= 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-49,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-50,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-51,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
with Tags with following condition 
Number of Tags > 50 in Size
Length of Tag key is <= 128 
Length of Tag key is <=256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-52,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
 Number of Tags > 50 in Size
Length of Tag key is > 128 
Length of Tag key is <=256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-53,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
 Number of Tags > 50 in Size
Length of Tag key is <= 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-54,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io1) Volume
 Number of Tags > 50 in Size
Length of Tag key is > 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-55,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Provisioned IOPS SSD (io1) Volume
with Valid KMSKeyId
",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-56,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Provisioned IOPS SSD (io1) Volume
with InValid KMSKeyId
",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-57,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Provisioned IOPS SSD (io1) Volume
with Valid KMSKeyARN
",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-58,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Provisioned IOPS SSD (io1) Volume
with InValid KMSKeyARN
",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-59,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume 
with the following conditions

4 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
With Desccription",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-60,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume 
with the following conditions

4 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
Without Desccription",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-61,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io2) Volume 
with InValid/ Non-Existence Backend Id",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-62,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io2) Volume 
with Non Block Type Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-63,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io2) Volume 
with Invalid Region in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-64,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io2) Volume 
with Invalid AK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-65,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io2) Volume 
with Invalid SK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-66,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Provisioned IOPS SSD (io2) Volume 
with Invalid AvailabilityZone",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-67,"SODA Multi-Cloud Docker Containers Up & Running
",,
"CreateProvisioned IOPS SSD (io2) Volume 
size < 4 GiB",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-68,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
size > 16384 GiB",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-69,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
 with 100 >= IOPS  <= 64000",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-70,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
 with IOPS < 100",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-71,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
 with IOPS > 64000",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-72,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
 with ThroughPuts",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-73,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 128 
Length of Tag key is <=256",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-74,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2)Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 128 
Length of Tag key is <= 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-75,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-76,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-77,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
with Tags with following condition 
Number of Tags > 50 in Size
Length of Tag key is <= 128 
Length of Tag key is <=256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-78,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
 Number of Tags > 50 in Size
Length of Tag key is > 128 
Length of Tag key is <=256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-79,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
 Number of Tags > 50 in Size
Length of Tag key is <= 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-80,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Provisioned IOPS SSD (io2) Volume
 Number of Tags > 50 in Size
Length of Tag key is > 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-81,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Provisioned IOPS SSD (io2) Volume
with Valid KMSKeyId
",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-82,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Provisioned IOPS SSD (io2) Volume
with InValid KMSKeyId
",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-83,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Provisioned IOPS SSD (io2) Volume
with Valid KMSKeyARN
",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-84,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Provisioned IOPS SSD (io2) Volume
with InValid KMSKeyARN
",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-85,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume 
with the following conditions:
 
500 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
With Desccription",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-86,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume 
with the following conditions:
 
500 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
Without Desccription",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-87,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Cold HDD (sc1) Volume 
with InValid/ Non-Existence Backend Id",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-88,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume 
with Non Block Type Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-89,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume 
with Invalid Region in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-90,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume 
with Invalid AK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-91,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume 
with Invalid SK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-92,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume 
with Invalid AvailabilityZone",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-93,"SODA Multi-Cloud Docker Containers Up & Running
",,
"CreateCold HDD (sc1) Volume 
size < 500 GiB",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-94,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
size > 16384 GiB",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-95,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
 with IOPS",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-96,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
 with ThroughPuts",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-97,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 128 
Length of Tag key is <=256",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-98,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 128 
Length of Tag key is <= 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-99,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-100,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-101,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
with Tags with following condition 
Number of Tags > 50 in Size
Length of Tag key is <= 128 
Length of Tag key is <=256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-102,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
 Number of Tags > 50 in Size
Length of Tag key is > 128 
Length of Tag key is <=256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-103,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
 Number of Tags > 50 in Size
Length of Tag key is <= 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-104,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Cold HDD (sc1) Volume
 Number of Tags > 50 in Size
Length of Tag key is > 128 
Length of Tag key is > 256",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-105,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Cold HDD (sc1) Volume
with Valid KMSKeyId
",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-106,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Cold HDD (sc1) Volume
with InValid KMSKeyId
",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-107,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Cold HDD (sc1) Volume
with Valid KMSKeyARN
",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-108,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Cold HDD (sc1) Volume
with InValid KMSKeyARN
",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-109,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Throughput Optimized HDD (st1) Volume 
with the following conditions:

500 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
With Description",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-110,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Throughput Optimized HDD (st1) Volume 
with the following conditions:

500 GiB >= size <= 16384 GiB
Valid Backend Id
Vaild AvailabiltyZone
Without Desccription",Volume Creation - [Valid Scenerio],TC-MuliCloud-Block-111,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create  Throughput Optimized HDD (st1)  Volume 
with InValid/ Non-Existence Backend Id",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-112,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Throughput Optimized HDD (st1) Volume 
with Non Block Type Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-113,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Throughput Optimized HDD (st1) Volume 
with Invalid Region in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-114,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Throughput Optimized HDD (st1) Volume 
with Invalid AK in provided Backend",Volume Creation - [InValid Scenerio],TC-MuliCloud-Block-115,"SODA Multi-Cloud Docker Containers Up & Running
",,
